  15.00  23.45  192.58    2.384    5.98  78.00 156.55    7.42    0.796   37.61
  16.00  25.00  191.58    2.374    5.99  77.21 155.00    8.42    0.849   35.32
  17.00  26.55  190.52    2.362    6.00  76.42 153.45    9.48    0.901   33.31
  18.00  28.09  189.41    2.350    6.01  75.64 151.91   10.59    0.952   31.53
  19.00  29.63  188.25    2.338    6.03  74.85 150.37   11.75    1.004   29.94
  20.00  31.17  187.03    2.324    6.04  74.06 148.83   12.97    1.055   28.51
  21.00  32.70  185.75    2.311    6.06  73.28 147.30   14.25    1.106   27.22
  22.00  34.24  184.43    2.296    6.08  72.50 145.76   15.57    1.157   26.05
  23.00  35.76  183.05    2.281    6.09  71.72 144.24   16.95    1.208   24.99
  24.00  37.29  181.63    2.266    6.11  70.95 142.71   18.37    1.258   24.01
  25.00  38.80  180.16    2.250    6.13  70.17 141.20   19.84    1.308   23.12
  26.00  40.32  178.65    2.233    6.15  69.40 139.68   21.35    1.358   22.30
  27.00  41.83  177.09    2.216    6.17  68.63 138.17   22.91    1.408   21.54
  28.00  43.34  175.50    2.198    6.19  67.87 136.66   24.50    1.457   20.84
  29.00  44.84  173.86    2.180    6.21  67.10 135.16   26.14    1.506   20.19
  30.00  46.33  172.18    2.162    6.24  66.34 133.67   27.82    1.554   19.58
  31.00  47.83  170.47    2.143    6.26  65.59 132.17   29.53    1.603   19.02
  32.00  49.31  168.72    2.124    6.29  64.83 130.69   31.28    1.651   18.49
  33.00  50.79  166.94    2.104    6.31  64.08 129.21   33.06    1.698   18.00
  34.00  52.27  165.12    2.084    6.34  63.33 127.73   34.88    1.745   17.54
  35.00  53.74  163.28    2.063    6.37  62.59 126.26   36.72    1.792   17.11
  36.00  55.21  161.41    2.042    6.40  61.84 124.79   38.59    1.839   16.70
  37.00  56.66  159.52    2.021    6.43  61.10 123.34   40.48    1.885   16.32
  38.00  58.12  157.60    1.999    6.46  60.37 121.88   42.40    1.930   15.95
  39.00  59.56  155.66    1.978    6.49  59.64 120.44   44.34    1.975   15.61
  40.00  61.00  153.69    1.955    6.52  58.91 119.00   46.31    2.020   15.29
  41.00  62.44  151.71    1.933    6.56  58.18 117.56   48.29    2.065   14.98
  42.00  63.87  149.72    1.910    6.59  57.46 116.13   50.28    2.108   14.70
  43.00  65.29  147.70    1.887    6.63  56.75 114.71   52.30    2.152   14.42
  44.00  66.70  145.68    1.864    6.66  56.03 113.30   54.32    2.195   14.16
  45.00  68.11  143.64    1.841    6.70  55.32 111.89   56.36    2.238   13.91
  46.00  69.51  141.59    1.817    6.74  54.62 110.49   58.41    2.280   13.68
  47.00  70.90  139.54    1.794    6.78  53.92 109.10   60.46    2.321   13.45
  48.00  72.28  137.48    1.770    6.82  53.22 107.72   62.52    2.362   13.24
  49.00  73.66  135.41    1.746    6.86  52.53 106.34   64.59    2.403   13.04
  50.00  75.03  133.35    1.722    6.91  51.84 104.97   66.65    2.443   12.84
  51.00  76.39  131.28    1.698    6.95  51.15 103.61   68.72    2.483   12.66
  52.00  77.74  129.21    1.673    7.00  50.47 102.26   70.79    2.522   12.48
  53.00  79.09  127.14    1.649    7.04  49.80 100.91   72.86    2.561   12.31
  54.00  80.43  125.08    1.625    7.09  49.13  99.57   74.92    2.599   12.15
  55.00  81.75  123.02    1.600    7.14  48.46  98.25   76.98    2.636   12.00
  56.00  83.07  120.97    1.576    7.19  47.80  96.93   79.03    2.673   11.85
  57.00  84.39  118.92    1.551    7.24  47.14  95.61   81.08    2.710   11.71
  58.00  85.69  116.88    1.527    7.29  46.49  94.31   83.12    2.746   11.58
  59.00  86.98  114.86    1.502    7.35  45.84  93.02   85.14    2.781   11.45
  60.00  88.27  112.84    1.478    7.40  45.20  91.73   87.16    2.816   11.32
  61.00  89.54  110.84    1.454    7.46  44.56  90.46   89.16    2.851   11.20
  62.00  90.81  108.86    1.430    7.52  43.92  89.19   91.14    2.885   11.09
  63.00  92.07  106.88    1.405    7.57  43.30  87.93   93.12    2.918   10.98
  64.00  93.32  104.93    1.381    7.63  42.67  86.68   95.07    2.951   10.87
  65.00  94.56  102.99    1.357    7.69  42.05  85.44   97.01    2.983   10.77
  66.00  95.79  101.07    1.334    7.76  41.44  84.21   98.93    3.014   10.67
  67.00  97.01   99.17    1.310    7.82  40.83  82.99  100.83    3.045   10.58
  68.00  98.22   97.29    1.286    7.88  40.23  81.78  102.71    3.076   10.49
  69.00  99.42   95.43    1.263    7.95  39.63  80.58  104.57    3.106   10.40
  70.00 100.61   93.59    1.240    8.02  39.04  79.39  106.41    3.135   10.32
